Cumulative Round,Maya,FlexEva
R1,1.0000000000000000,1.0398405393781895
R2,2.0054422245022687,1.1510639397947473
R3,3.0104030053569080,1.2516062794528466
R4,3.5687609760590244,1.4766067761442887
