label,system,total_trace_events,regenerated_trace_events,seconds,refresh_ratio
2.7B/8GPU TP1-PP8-DP1,Maya-full,5109807,1827036,133.1263225711882,0.3575547961009095
2.7B/8GPU TP1-PP8-DP1,Maya-trace-RAS,5109807,1827036,129.8060109578073,0.3575547961009095
2.7B/8GPU TP1-PP8-DP1,FlexEva refresh,5109807,1827036,27.429122076628445,0.3575547961009095
2.7B/16GPU TP1-PP8-DP2,Maya-full,10234016,3653214,235.98281895183027,0.3569677827355361
2.7B/16GPU TP1-PP8-DP2,Maya-trace-RAS,10234016,3653214,182.76972949504852,0.3569677827355361
2.7B/16GPU TP1-PP8-DP2,FlexEva refresh,10234016,3653214,27.99616958781421,0.3569677827355361
18.4B/16GPU TP2-PP8-DP1,Maya-full,26980072,9205510,605.9359602481127,0.3411966432113302
18.4B/16GPU TP2-PP8-DP1,Maya-trace-RAS,26980072,9205510,455.1708391327411,0.3411966432113302
18.4B/16GPU TP2-PP8-DP1,FlexEva refresh,26980072,9205510,77.34714144642425,0.3411966432113302
