system,system_label,k1_peak_rss_delta_mib_median,k1_peak_rss_delta_mib_q1,k1_peak_rss_delta_mib_q3,k1_retained_rss_delta_mib_median,k1_wall_time_s_median,k32_incremental_peak_rss_delta_mib_per_candidate,k32_incremental_retained_rss_delta_mib_per_candidate,k32_peak_rss_delta_mib_median,k32_peak_rss_delta_mib_q1,k32_peak_rss_delta_mib_q3,k32_retained_rss_delta_mib_median,k32_wall_time_s_median,k8_peak_rss_delta_mib_median,k8_peak_rss_delta_mib_q1,k8_peak_rss_delta_mib_q3,k8_retained_rss_delta_mib_median,k8_wall_time_s_median
maya_full,Maya-full,632.140625,632.134765625,632.15234375,437.453125,5.566656930372119,334.03301411290323,334.0767389112903,10987.1640625,10987.0859375,10987.185546875,10793.83203125,205.97318188659847,3002.4453125,3002.443359375,3002.498046875,2807.53515625,48.928545812144876
maya_trace_ras,Maya-trace-RAS,272.7578125,272.7578125,272.771484375,49.3515625,1.7289870213717222,28.923009072580644,32.80972782258065,1169.37109375,1169.328125,1169.392578125,1066.453125,65.61147815734148,475.9140625,475.830078125,476.7578125,331.34765625,14.209339119493961
flexeva,FlexEva,272.78515625,272.76171875,272.791015625,80.3828125,2.129294577986002,13.443422379032258,18.758316532258064,689.53125,689.51171875,689.576171875,661.890625,18.25240101851523,272.74609375,272.732421875,272.74609375,217.94921875,5.382803218439221
