case,route_experts,seed,world_size,predicted_runtime_us,actual_runtime_us,oracle_error_pct,maya_error_pct,flexeva_error_pct
Base MoE,none,1234,16,1211955.3549999937,1125248.0,7.705621782930848,7.705621782930848,7.705621782930848
Intra 0-1,"[0,1]",5200,16,613019.5029999982,660012.0,7.119945849469682,7.119945849469682,7.119945849469682
Cross 0-8,"[0,8]",5201,16,615410.4139999966,640233.0,3.8771175493927035,3.8771175493927035,3.8771175493927035
Cross 0-15,"[0,15]",5202,16,613408.4629999987,642369.0,4.508395797431272,4.508395797431272,4.508395797431272
Boundary 7-8,"[7,8]",5203,16,702055.9030000011,711798.0,1.368660350267759,1.368660350267759,1.368660350267759
