Optimization Stage,Time,A2A,Drop,Reroute
Base,1.0,1.0,1.0,1.0
S1,1.2873623764902078,1.9174005010894075,0.9827704557935201,1.1815344603381015
S2,0.918813644598875,1.9162670108839184,1.013293977667948,1.0671001300390117
S3,1.1952700739582423,1.8479666454625794,1.094865458539264,0.47620286085825747
S4,1.6129676128565928,1.9503012615162318,1.5081228262859234,2.0
